date,source,generation_gwh,unit
2015-03-01,Electricity Generation by Gas,1669.67,GWh
2015-03-01,Electricity Generation by Nuclear,451.96,GWh
2015-03-01,Electricity Imported from Iran,32.81,GWh
2015-03-01,Electricity Generation by Mixed,138.07,GWh
2015-03-01,Electricity Generation by Wind,33.29,GWh
2015-04-01,Total Electricity Generation by all sources,7341.52,GWh
2015-04-01,Electricity Generation by Hydel,1472.75,GWh
2015-04-01,Electricity Generation by Coal,13.12,GWh
2015-04-01,Electricity Generation by High Speed Diesel (HSD),371.2,GWh
2015-04-01,Electricity Generation by Residual Fuel Oil (RFO),2880.22,GWh
2015-04-01,Electricity Generation by Gas,1964.31,GWh
2015-04-01,Electricity Generation by Nuclear,431.98,GWh
2015-04-01,Electricity Imported from Iran,38.44,GWh
2015-04-01,Electricity Generation by Mixed,116.96,GWh
2015-04-01,Electricity Generation by Wind,52.54,GWh
2015-05-01,Total Electricity Generation by all sources,9578.357,GWh
2015-05-01,Electricity Generation by Hydel,3377.71,GWh
2015-05-01,Electricity Generation by High Speed Diesel (HSD),114.238,GWh
2015-05-01,Electricity Generation by Residual Fuel Oil (RFO),2740.55,GWh
2015-05-01,Electricity Generation by Gas,2659.948,GWh
2015-05-01,Electricity Generation by Nuclear,445.332,GWh
2015-05-01,Electricity Imported from Iran,42.738,GWh
2015-05-01,Electricity Generation by Mixed,96.38,GWh
2015-05-01,Electricity Generation by Wind,77.494,GWh
2015-05-01,Electricity Generation by bagasse,23.967,GWh
2015-06-01,Total Electricity Generation by all sources,9917.82,GWh
2015-06-01,Electricity Generation by Hydel,3972.81,GWh
2015-06-01,Electricity Generation by High Speed Diesel (HSD),126.95,GWh
2015-06-01,Electricity Generation by Residual Fuel Oil (RFO),2484.22,GWh
2015-06-01,Electricity Generation by Gas,2722.0,GWh
2015-06-01,Electricity Generation by Nuclear,430.99,GWh
2015-06-01,Electricity Imported from Iran,89.1,GWh
2015-06-01,Electricity Generation by Mixed,38.86,GWh
2015-06-01,Electricity Generation by Wind,52.89,GWh
2015-07-01,Total Electricity Generation by all sources,10627.2,GWh
2015-07-01,Electricity Generation by Hydel,4528.8,GWh
2015-07-01,Electricity Generation by Coal,5.85,GWh
2015-07-01,Electricity Generation by High Speed Diesel (HSD),125.15,GWh
2015-07-01,Electricity Generation by Residual Fuel Oil (RFO),2390.11,GWh
2015-07-01,Electricity Generation by Gas,2930.53,GWh
2015-07-01,Electricity Generation by Nuclear,428.76,GWh
2015-07-01,Electricity Imported from Iran,43.24,GWh
2015-07-01,Electricity Generation by Mixed,36.96,GWh
2015-07-01,Electricity Generation by Wind,89.4,GWh
2015-07-01,Electricity Generation by bagasse,35.73,GWh
2015-07-01,Electricity Generation by Solar,12.67,GWh
2015-08-01,Total Electricity Generation by all sources,10519.26,GWh
2015-08-01,Electricity Generation by Hydel,4382.39,GWh
2015-08-01,Electricity Generation by Coal,3.0,GWh
2015-08-01,Electricity Generation by High Speed Diesel (HSD),279.21,GWh
2015-08-01,Electricity Generation by Residual Fuel Oil (RFO),2767.43,GWh
2015-08-01,Electricity Generation by Gas,2684.69,GWh
2015-08-01,Electricity Generation by Nuclear,181.68,GWh
2015-08-01,Electricity Imported from Iran,44.22,GWh
2015-08-01,Electricity Generation by Mixed,33.67,GWh
2015-08-01,Electricity Generation by Wind,94.29,GWh
2015-08-01,Electricity Generation by bagasse,33.94,GWh
2015-08-01,Electricity Generation by Solar,14.74,GWh
2015-09-01,Total Electricity Generation by all sources,9619.47,GWh
2015-09-01,Electricity Generation by Hydel,4138.62,GWh
2015-09-01,Electricity Generation by Coal,10.2,GWh
2015-09-01,Electricity Generation by High Speed Diesel (HSD),106.89,GWh
2015-09-01,Electricity Generation by Residual Fuel Oil (RFO),2297.87,GWh
2015-09-01,Electricity Generation by Gas,2737.42,GWh
2015-09-01,Electricity Generation by Nuclear,186.79,GWh
