date,year,month,month_name,source,category,generation_gwh,unit
2014-06-01,2014,6,Jun,Electricity Generation by Wind,Renewable,43.02, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Coal,Fossil / Other,10.11, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Gas,Fossil / Other,2135.88, GWh
2014-07-01,2014,7,Jul,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,385.5, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Mixed,Fossil / Other,106.06, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3445.24, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Nuclear,Nuclear,386.12, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Hydel,Renewable,3790.63, GWh
2014-07-01,2014,7,Jul,Electricity Generation by Wind,Renewable,47.84, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Coal,Fossil / Other,4.7, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Gas,Fossil / Other,1889.98, GWh
2014-08-01,2014,8,Aug,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,303.58, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Mixed,Fossil / Other,106.48, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,3236.65, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Nuclear,Nuclear,435.93, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Hydel,Renewable,4282.93, GWh
2014-08-01,2014,8,Aug,Electricity Generation by Wind,Renewable,37.21, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Coal,Fossil / Other,7.85, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Gas,Fossil / Other,1876.14, GWh
2014-09-01,2014,9,Sep,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,320.17, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Mixed,Fossil / Other,105.45, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2779.77, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Nuclear,Nuclear,432.03, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Hydel,Renewable,3532.44, GWh
2014-09-01,2014,9,Sep,Electricity Generation by Wind,Renewable,31.59, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Coal,Fossil / Other,0.12, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Gas,Fossil / Other,1523.65, GWh
2014-10-01,2014,10,Oct,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,245.48, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Mixed,Fossil / Other,118.08, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2780.61, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Nuclear,Nuclear,403.42, GWh
2014-10-01,2014,10,Oct,Electricity Generation by Hydel,Renewable,3202.84, GWh
